timestamp,Open,High,Low,Close,Volume
2023-01-01,246.285,246.62,243.439,244.4,5941.9619
2023-01-02,244.397,247.86,240.76,245.24,9496.8336
2023-01-03,245.25,246.96,244.57,246,6819.7442
2023-01-04,246,260.817,245.62,258.836,21488.35263505
2023-01-05,258.848,259,255,256.576,8729.996
2023-01-06,256.576,260.476,254.499,259.869,10043.13528299
2023-01-07,259.821,263.88,259.355,261.341,7299.6184
2023-01-08,261.331,276.195,260.093,274.953,13338.6863588
2023-01-09,274.925,283.313,271.269,272.507,23285.3891
2023-01-10,272.487,278.726,270.42,277.253,11197.90113389
2023-01-11,277.252,286.93,274.241,284.723,13245.4535
2023-01-12,284.769,288.59,278.913,287.723,21544.4531
2023-01-13,287.723,295.717,284.891,293.705,20933.5058
2023-01-14,293.705,314.368,293.287,305.196,42619.5401
2023-01-15,305.169,306.04,292,302.123,24983.1029
2023-01-16,302.1,307.97,293.26,299.053,30342.1205906
2023-01-17,299.085,305.67,295.17,299.279,21397.1639
2023-01-18,299.299,305.187,281.25,286.766,56054.7475
2023-01-19,286.699,295.47,285.776,294.63,16131.44619823
2023-01-20,294.609,305.401,286.681,305.135,32309.9336
2023-01-21,305.08,310,297.363,298.993,45931.0454
2023-01-22,299.063,311.271,298.452,303.027,32541.14795357
2023-01-23,303.027,307.747,300.677,305.132,27626.442
2023-01-24,305.151,323.612,299.17,300.308,44391.64142725
2023-01-25,300.322,313.919,293.453,306.807,32206.66466847
2023-01-26,306.909,309.499,301.512,304.793,21557.4273
2023-01-27,304.845,310.5,298.893,308.017,18826.5993
2023-01-28,308.016,313.588,303.537,306.061,17161.93844744
2023-01-29,306.061,320.473,304.859,317.21,30795.31362307
2023-01-30,317.135,320.942,301.956,307.169,23514.6051
2023-01-31,307.169,314.364,305.326,312.09,19347.24218759
2023-02-01,312.088,319.357,305.617,317.071,21769.765
2023-02-02,317.072,334.427,316.41,323.508,30522.08582708
2023-02-03,323.493,335.464,318.41,332.375,29350.1821
2023-02-04,332.446,334.111,327,330.517,14265.8916
2023-02-05,330.403,337.766,324.09,327.778,21126.56348272
2023-02-06,327.773,331.499,320.85,324.274,17894.6063
2023-02-07,324.353,333.709,323.195,333.081,22062.58779157
2023-02-08,333.01,335.867,323.59,328.276,16550.3916
2023-02-09,328.285,329.161,301.98,306.087,40620.9489
2023-02-10,306.152,309.14,302.44,305.81,18657.4608
2023-02-11,305.802,311.28,305.112,310.528,10471.1289
2023-02-12,310.528,320.9,306.021,312.491,20942.83157673
2023-02-13,312.541,315.56,282.781,294.266,66617.26758216
2023-02-14,294.224,301.66,289.88,296.158,35653.9419865
2023-02-15,296.25,317.655,294.016,317.402,25477.85334435
