timestamp,Open,High,Low,Close,Volume
2023-01-01,0.33901,0.33991,0.33535,0.33876,12636731.1827
2023-01-02,0.3387,0.35528,0.30212,0.34811,75232101.47600101
2023-01-03,0.34804,0.35199,0.34096,0.34368,27003733.64458824
2023-01-04,0.34365,0.35238,0.342,0.34725,35900738.90032467
2023-01-05,0.34721,0.34865,0.33355,0.33787,25313266.5811136
2023-01-06,0.33786,0.34602,0.33122,0.34428,27687297.97594078
2023-01-07,0.34422,0.34623,0.34132,0.34435,19391064.7775
2023-01-08,0.34437,0.34675,0.33652,0.3452,24525911.3296
2023-01-09,0.34524,0.35747,0.34381,0.349,60257028.06375029
2023-01-10,0.34901,0.35396,0.34359,0.35077,36467461.1995
2023-01-11,0.35078,0.37839,0.34763,0.37304,75384571.35103191
2023-01-12,0.37301,0.3815,0.36101,0.37477,54936962.58988357
2023-01-13,0.37478,0.38669,0.36814,0.38562,42872261.31746415
2023-01-14,0.38566,0.4088,0.37744,0.39523,73206309.81712169
2023-01-15,0.39522,0.3969,0.37964,0.38463,30168822.45199149
2023-01-16,0.38457,0.40613,0.3762,0.38552,61543159.0237
2023-01-17,0.38561,0.39856,0.3791,0.38683,36767463.86693284
2023-01-18,0.38689,0.39622,0.36628,0.37819,58252828.03093913
2023-01-19,0.37819,0.39652,0.37629,0.3929,38256364.6704
2023-01-20,0.39288,0.4142,0.38604,0.41287,44735541.5425518
2023-01-21,0.41278,0.41641,0.3975,0.40328,47334996.5266
2023-01-22,0.40333,0.41204,0.39647,0.40047,38533517.32077506
2023-01-23,0.40044,0.43288,0.39963,0.42349,83047480.8578
2023-01-24,0.42334,0.4311,0.40252,0.40779,43303493.7072
2023-01-25,0.40777,0.42442,0.39699,0.41691,40051806.68375929
2023-01-26,0.41703,0.41787,0.4052,0.40921,36468475.6823
2023-01-27,0.40919,0.41346,0.399,0.41277,33438651.96643854
2023-01-28,0.41274,0.41668,0.40493,0.40773,22084357.402
2023-01-29,0.40765,0.41744,0.40645,0.41343,26490479.9396
2023-01-30,0.41343,0.4221,0.385,0.39345,45362766.92001861
2023-01-31,0.39344,0.41126,0.38831,0.40573,43759932.98575293
2023-02-01,0.40569,0.41573,0.3965,0.4132,46812519.00072393
2023-02-02,0.41325,0.41917,0.40765,0.40975,50926479.2996814
2023-02-03,0.40975,0.41368,0.4052,0.41155,35071156.84302916
2023-02-04,0.41161,0.42035,0.4075,0.41072,26798023.9526
2023-02-05,0.41069,0.41199,0.39448,0.39852,30762876.5161
2023-02-06,0.39853,0.4035,0.39092,0.39209,32386902.73206146
2023-02-07,0.39204,0.40535,0.39012,0.40365,42939515.55770745
2023-02-08,0.40364,0.4061,0.39376,0.3977,39952998.82144985
2023-02-09,0.39772,0.409,0.3725,0.38165,69480997.23121477
2023-02-10,0.38179,0.38781,0.3769,0.38169,41076231.7041
2023-02-11,0.38165,0.38412,0.37971,0.38347,15169478.97001667
2023-02-12,0.38343,0.38493,0.3711,0.37488,18428731.6415
2023-02-13,0.37471,0.37828,0.36121,0.37041,41790837.4722
2023-02-14,0.3704,0.38388,0.36463,0.38199,43161558.7348875
2023-02-15,0.38187,0.40326,0.37659,0.40122,52958173.4888
2023-02-16,0.40121,0.40466,0.38402,0.38406,56690210.2725
2023-02-17,0.38412,0.39995,0.38085,0.39498,45941796.86080628
